brand,year,season,num,r,g,b,a
chanel,2021,spring,48,206,167,150,253
chanel,2021,spring,48,17,25,33,253
chanel,2021,spring,48,178,136,120,253
chanel,2021,spring,48,160,118,104,252
chanel,2021,spring,58,202,175,166,253
chanel,2021,spring,58,179,157,152,250
chanel,2021,spring,58,214,212,216,253
chanel,2021,spring,58,151,112,102,252
chanel,2018,fall,79,84,81,83,253
chanel,2018,fall,79,38,37,38,253
chanel,2018,fall,79,236,218,211,253
chanel,2018,fall,79,221,160,163,252
chanel,2018,fall,69,212,175,151,253
chanel,2018,fall,69,85,85,86,252
chanel,2018,fall,69,36,35,34,253
chanel,2018,fall,69,68,58,53,251
chanel,2018,spring,87,222,222,220,253
chanel,2018,spring,87,214,196,184,253
chanel,2018,spring,87,208,176,159,253
chanel,2018,spring,87,179,168,161,247
chanel,2020,spring,32,217,171,157,253
chanel,2020,spring,32,87,85,93,253
chanel,2020,spring,32,31,31,36,254
chanel,2020,spring,32,155,150,157,252
chanel,2020,spring,22,74,51,47,253
chanel,2020,spring,22,226,172,152,253
chanel,2020,spring,22,47,50,69,253
chanel,2020,spring,22,31,30,40,253
chanel,2019,spring,54,218,217,229,253
chanel,2019,spring,54,34,71,112,254
chanel,2019,spring,54,24,55,91,253
chanel,2019,spring,54,24,24,33,253
chanel,2019,spring,44,203,171,165,253
chanel,2019,spring,44,220,206,208,253
chanel,2019,spring,44,179,156,155,251
chanel,2019,spring,44,159,108,93,253
chanel,2020,fall,21,89,87,87,252
chanel,2020,fall,21,82,45,40,253
chanel,2020,fall,21,211,172,153,253
chanel,2020,fall,21,25,28,29,253
chanel,2020,fall,31,165,152,152,253
chanel,2020,fall,31,138,114,113,253
chanel,2020,fall,31,103,90,90,253
chanel,2020,fall,31,36,32,33,253
chanel,2020,fall,3,217,211,172,253
chanel,2020,fall,3,179,177,143,252
chanel,2020,fall,3,166,151,108,253
chanel,2020,fall,3,234,230,201,253
chanel,2018,spring,1,229,229,230,253
chanel,2018,spring,1,221,198,182,253
chanel,2018,spring,1,209,174,157,253
chanel,2018,spring,1,168,160,158,246
chanel,2020,fall,43,238,207,180,253
chanel,2020,fall,43,214,173,152,253
chanel,2020,fall,43,93,91,87,251
chanel,2020,fall,43,25,27,29,253
chanel,2020,fall,53,219,199,179,253
chanel,2020,fall,53,209,179,161,253
chanel,2020,fall,53,227,224,217,253
chanel,2020,fall,53,168,162,156,251
chanel,2019,spring,36,216,203,207,253
chanel,2019,spring,36,206,166,172,253
chanel,2019,spring,36,171,156,163,250
chanel,2019,spring,36,160,106,107,252
chanel,2019,spring,26,203,165,166,253
chanel,2019,spring,26,220,210,220,253
chanel,2019,spring,26,174,152,159,251
chanel,2019,spring,26,157,106,103,252
chanel,2020,spring,50,78,51,44,253
chanel,2020,spring,50,34,29,28,253
chanel,2020,spring,50,239,220,222,253
chanel,2020,spring,50,217,168,158,253
chanel,2019,fall,19,162,159,155,252
chanel,2019,fall,19,227,224,220,253
chanel,2019,fall,19,93,90,91,253
chanel,2019,fall,19,37,38,41,253
chanel,2020,spring,40,229,230,233,252
chanel,2020,spring,40,218,170,147,253
chanel,2020,spring,40,46,72,114,252
chanel,2020,spring,40,31,50,81,252
chanel,2019,fall,4,144,111,92,253
chanel,2019,fall,4,97,87,82,253
chanel,2019,fall,4,229,226,219,253
chanel,2019,fall,4,43,38,39,253
chanel,2018,spring,11,212,209,181,253
chanel,2018,spring,11,207,173,160,253
chanel,2018,spring,11,169,163,155,249
chanel,2018,spring,11,219,220,211,253
chanel,2019,fall,54,90,91,94,249
chanel,2019,fall,54,156,158,162,248
chanel,2019,fall,54,54,58,66,252
chanel,2019,fall,54,31,36,41,253
chanel,2019,fall,44,234,73,47,253
chanel,2019,fall,44,35,33,34,253
chanel,2019,fall,44,222,42,26,254
chanel,2019,fall,44,210,170,154,253
chanel,2020,spring,7,231,227,228,253
chanel,2020,spring,7,161,157,158,252
chanel,2020,spring,7,157,107,89,252
chanel,2020,spring,7,216,170,151,254
chanel,2021,spring,67,203,163,152,254
chanel,2021,spring,67,94,81,81,253
chanel,2021,spring,67,157,110,103,253
chanel,2021,spring,67,37,34,37,253
chanel,2018,fall,46,236,221,217,253
chanel,2018,fall,46,74,55,36,253
chanel,2018,fall,46,209,174,162,253
chanel,2018,fall,46,96,74,49,253
chanel,2018,fall,56,94,75,50,252
chanel,2018,fall,56,165,162,151,253
chanel,2018,fall,56,108,98,84,253
chanel,2018,fall,56,47,36,22,252
chanel,2018,fall,24,158,163,150,252
chanel,2018,fall,24,41,43,40,252
chanel,2018,fall,24,87,94,89,252
chanel,2018,fall,24,57,70,74,253
