brand,year,season,num,r,g,b,a
chanel,2021,spring,48,206,167,150,253
chanel,2021,spring,48,17,25,33,253
chanel,2021,spring,48,178,136,120,253
chanel,2021,spring,48,160,118,104,252
chanel,2021,spring,58,202,175,166,253
chanel,2021,spring,58,179,157,152,250
chanel,2021,spring,58,214,212,216,253
chanel,2021,spring,58,151,112,102,252
koche,2021,spring,25,205,73,85,254
koche,2021,spring,25,155,101,98,253
koche,2021,spring,25,208,214,236,254
koche,2021,spring,25,164,176,212,253
chloe,2021,spring,19,229,223,210,253
chloe,2021,spring,19,210,171,147,253
chloe,2021,spring,19,102,100,89,253
chloe,2021,spring,19,35,34,34,253
koche,2021,spring,35,236,237,243,253
koche,2021,spring,35,87,45,43,253
koche,2021,spring,35,27,23,30,253
koche,2021,spring,35,104,78,81,252
loewe,2021,spring,10,215,217,218,249
loewe,2021,spring,10,113,114,114,136
loewe,2021,spring,10,86,88,89,102
dsquared,2021,fall,4,141,117,109,253
dsquared,2021,fall,4,104,95,95,249
dsquared,2021,fall,4,157,144,143,251
dsquared,2021,fall,4,11,10,12,253
koche,2021,spring,6,213,217,231,254
koche,2021,spring,6,201,167,150,253
koche,2021,spring,6,177,182,204,253
koche,2021,spring,6,164,156,160,252
burberry-prorsum,2021,spring,42,216,217,218,254
burberry-prorsum,2021,spring,42,159,161,162,253
burberry-prorsum,2021,spring,42,89,89,92,253
burberry-prorsum,2021,spring,42,28,29,31,253
burberry-prorsum,2021,spring,52,37,35,34,251
burberry-prorsum,2021,spring,52,223,226,232,253
burberry-prorsum,2021,spring,52,185,196,202,253
burberry-prorsum,2021,spring,52,161,166,170,251
christian-dior,2021,spring,25,210,175,164,253
christian-dior,2021,spring,25,29,29,31,253
christian-dior,2021,spring,25,165,156,151,253
christian-dior,2021,spring,25,96,88,86,252
christian-dior,2021,spring,35,214,199,182,253
christian-dior,2021,spring,35,230,224,216,253
christian-dior,2021,spring,35,205,180,159,253
christian-dior,2021,spring,35,172,164,155,250
martin-grant,2021,spring,14,223,215,201,253
martin-grant,2021,spring,14,35,35,49,253
martin-grant,2021,spring,14,213,200,183,253
martin-grant,2021,spring,14,46,52,72,253
fendi,2021,spring,62,96,95,102,251
fendi,2021,spring,62,30,33,36,251
fendi,2021,spring,62,216,216,220,253
fendi,2021,spring,62,160,160,166,253
hermes,2021,spring,43,237,225,218,253
hermes,2021,spring,43,179,141,108,253
hermes,2021,spring,43,157,113,88,252
hermes,2021,spring,43,208,170,147,253
dsquared,2021,spring,24,200,175,156,253
dsquared,2021,spring,24,163,137,118,253
dsquared,2021,spring,24,17,17,18,253
dsquared,2021,spring,24,182,156,138,253
givenchy,2021,spring,2,236,233,215,254
givenchy,2021,spring,2,37,33,31,250
givenchy,2021,spring,2,212,208,183,253
givenchy,2021,spring,2,173,160,157,248
fendi,2021,spring,5,210,177,153,254
fendi,2021,spring,5,108,89,80,253
fendi,2021,spring,5,145,114,94,253
fendi,2021,spring,5,40,30,22,252
prada,2021,spring,10,174,177,155,252
prada,2021,spring,10,212,214,202,253
prada,2021,spring,10,203,202,182,253
prada,2021,spring,10,24,18,12,253
hermes,2021,spring,9,204,163,149,253
hermes,2021,spring,9,84,81,92,252
hermes,2021,spring,9,155,112,100,252
hermes,2021,spring,9,18,18,24,253
dsquared,2021,spring,6,203,177,159,253
dsquared,2021,spring,6,241,242,244,253
dsquared,2021,spring,6,217,198,180,253
dsquared,2021,spring,6,181,158,140,250
hermes,2021,spring,21,211,167,149,253
hermes,2021,spring,21,154,111,90,251
hermes,2021,spring,21,19,21,29,253
hermes,2021,spring,21,81,78,90,249
miu-miu,2021,spring,3,207,113,45,253
miu-miu,2021,spring,3,170,91,37,253
miu-miu,2021,spring,3,91,43,23,252
miu-miu,2021,spring,3,35,32,27,252
miu-miu,2021,spring,39,243,231,224,252
miu-miu,2021,spring,39,227,181,150,250
miu-miu,2021,spring,39,229,156,98,253
miu-miu,2021,spring,39,14,14,12,253
hermes,2021,spring,31,218,199,183,254
hermes,2021,spring,31,97,77,79,253
hermes,2021,spring,31,45,35,38,253
hermes,2021,spring,31,73,54,53,253
miu-miu,2021,spring,29,250,13,1,253
miu-miu,2021,spring,29,36,21,14,253
miu-miu,2021,spring,29,250,226,173,253
miu-miu,2021,spring,29,247,236,209,253
fendi,2021,spring,10,227,199,184,253
fendi,2021,spring,10,168,165,166,249
fendi,2021,spring,10,217,220,225,254
fendi,2021,spring,10,208,176,160,253
philosophy,2021,spring,29,218,217,228,253
philosophy,2021,spring,29,169,155,157,253
philosophy,2021,spring,29,96,91,93,252
philosophy,2021,spring,29,24,38,34,253
